v8-version,8,5,210,20,0
code-creation,Builtin,3,3848,0x1097bdee0,12,GlobalEncodeURIComponent
code-creation,Builtin,3,3854,0x1097bdf00,12,GlobalEscape
code-creation,Builtin,3,3859,0x1097bdf20,12,GlobalUnescape
code-creation,Builtin,3,3864,0x1097bdf40,12,GlobalEval
code-creation,Builtin,3,3869,0x1097bdf60,149,GlobalIsFinite
code-creation,Builtin,3,3874,0x1097be000,141,GlobalIsNaN
code-creation,Builtin,3,3879,0x1097be0a0,12,JsonParse
code-creation,Builtin,3,3884,0x1097be0c0,12,JsonStringify
code-creation,Builtin,3,3889,0x1097be0e0,4097,LoadIC
code-creation,Builtin,3,3894,0x1097bf100,3525,LoadIC_Megamorphic
code-creation,Builtin,3,3900,0x1097bfee0,3581,LoadIC_Noninlined
code-creation,Builtin,3,3905,0x1097c0ce0,56,LoadICTrampoline
code-creation,Builtin,3,3910,0x1097c0d20,56,LoadICTrampoline_Megamorphic
code-creation,Builtin,3,3916,0x1097c0d60,7518,KeyedLoadIC
code-creation,Builtin,3,3921,0x1097c2ac0,13090,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,3927,0x1097c5e00,56,KeyedLoadICTrampoline
code-creation,Builtin,3,3932,0x1097c5e40,56,KeyedLoadICTrampoline_Megamorphic
code-creation,Builtin,3,3938,0x1097c5e80,5820,StoreGlobalIC
code-creation,Builtin,3,3943,0x1097c7540,56,StoreGlobalICTrampoline
code-creation,Builtin,3,3949,0x1097c7580,6128,StoreIC
code-creation,Builtin,3,3954,0x1097c8d80,60,StoreICTrampoline
code-creation,Builtin,3,3959,0x1097c8dc0,6544,KeyedStoreIC
code-creation,Builtin,3,3964,0x1097ca760,60,KeyedStoreICTrampoline
code-creation,Builtin,3,3970,0x1097ca7a0,432,StoreInArrayLiteralIC
code-creation,Builtin,3,3975,0x1097ca960,2569,LoadGlobalIC
code-creation,Builtin,3,3980,0x1097cb380,2553,LoadGlobalICInsideTypeof
code-creation,Builtin,3,3986,0x1097cbd80,56,LoadGlobalICTrampoline
code-creation,Builtin,3,3992,0x1097cbdc0,56,LoadGlobalICInsideTypeofTrampoline
